CICO,SM1_DZ,GATS1i,NdsCH,NdssC,MLOGP,LC50_target
3.26,829,1676,0,1,1453,3770
2189,0.58,863,0,0,1348,3115
2125,638,831,0,0,1348,3531
3027,331,1472,1,0,1807,3510
2094,827,0.86,0,0,1886,5390
3222,331,2177,0,0,706,1819
3179,0,1063,0,0,2942,3947
3,0,938,1,0,2851,3513
2.62,499,0.99,0,0,2942,4402
2834,134,0.95,0,0,1591,3021
2405,134,843,0,0,1769,3210
2728,223,953,0,0,1591,2371
2512,223,929,1,0,1769,3919
2834,134,1237,0,0,1859,3030
2819,331,1271,0,1,981,2736
2126,251,1114,0,0,143,2157
2834,134,1322,0,0,1199,2413
3014,0.56,1781,0,0,-115,898
3024,452,2698,0,0,1107,450
3036,405,1205,1,0,1807,3733
2707,972,1889,0,3,-1169,2976
2978,1246,1103,0,1,3988,6535
3111,732,923,0,0,4068,5643
3315,223,0.96,0,0,3395,4629
2.71,0.93,724,0,0,2526,4838
3326,647,986,0,1,3112,4081
3332,134,1294,0,0,2.51,3436
3896,134,1984,0,0,2591,3450
3155,638,2128,0,0,-937,1102
2479,887,954,0,0,1748,4257
1075,1161,865,0,1,24,5386
3645,223,1155,0,0,2837,3393
3079,429,2135,0,0,-521,1308
3332,134,1519,0,0,2242,3554
2726,496,1179,0,1,1.06,2269
3532,134,1.11,0,0,2813,4165
4216,223,1248,0,0,5089,5896
3605,0,1.15,0,0,3562,4829
2918,223,944,3,0,2066,4590
3833,405,1522,0,1,3492,2092
3669,223,1599,0,0,2274,3665
2824,223,1,1,0,2102,3560
2233,0.64,0.92,1,0,2.37,4805
3103,134,1344,0,0,1533,3174
4413,0.56,1.17,1,2,3906,7899
3641,331,1933,0,1,1565,2670
3073,693,1851,0,2,787,4016
3012,223,1023,0,0,2193,3857
3818,693,1627,2,2,2217,5522
4171,693,1678,0,2,2849,4851
3734,223,1.45,2,1,2642,3840
3734,223,1374,2,2,2642,4586
2126,977,771,0,0,3795,5284
2216,679,764,0,0,2296,3559
3179,0,1063,0,0,2942,4091
2.62,499,0.99,0,0,3.21,4330
2728,223,953,0,0,1859,3755
2126,0.83,899,0,0,3478,4552
